country,date,ypred,yerr,ytrue
AND,2020-07-25,24.744331,29.169945763641657,NA
AND,2020-07-26,12.181039,19.957752070692788,NA
AND,2020-07-27,6.754851,14.256861120165668,NA
AND,2020-07-28,2.9091024,10.027052738955454,NA
AND,2020-07-29,2.5053358,9.413735548815062,NA
AND,2020-07-30,3.370082,10.61829327352769,NA
AND,2020-07-31,5.2129383,13.285322960265209,NA
AND,2020-08-01,4.76043,12.80551561737902,NA
AND,2020-08-02,7.206797,16.48487683188831,NA
AND,2020-08-03,6.6069713,14.568854131514358,NA
AND,2020-08-04,11.494534,20.902731461070417,NA
AND,2020-08-05,22.166353,30.870961654673952,NA
AND,2020-08-06,14.394389,23.05388121755179,NA
AND,2020-08-07,26.59824,32.18486478618949,NA
AND,2020-08-08,16.913465,25.584388165583402,NA
AND,2020-08-09,28.953432,33.5711123461674,NA
AND,2020-08-10,14.031102,24.1743067949574,NA
AND,2020-08-11,11.227932,21.355026463047714,NA
AND,2020-08-12,10.014781,18.627028421639476,NA
AND,2020-08-13,20.645247,28.706277972274723,NA
AND,2020-08-14,38.767838,39.80066830920829,NA
AND,2020-08-15,23.65761,30.20242162379399,NA
AND,2020-08-16,21.208023,27.44793597490666,NA
AND,2020-08-17,37.056248,36.57431262231298,NA
AND,2020-08-18,25.08192,30.01271894240407,NA
AND,2020-08-19,15.5700035,22.778481918693334,NA
AND,2020-08-20,18.152868,24.163540525140526,NA
AND,2020-08-21,31.09292,32.276265315163606,NA
AND,2020-08-22,23.130327,27.240447161785507,NA
AND,2020-08-23,33.85182,33.74307049825166,NA
AND,2020-08-24,12.046571,20.46772993052156,NA
AND,2020-08-25,6.687231,14.726906125451992,NA
AND,2020-08-26,4.6439767,11.467876112475274,NA
AND,2020-08-27,7.361722,15.24141536526572,NA
AND,2020-08-28,12.591586,20.500140409640814,NA
AND,2020-08-29,6.3632255,13.480483223009323,NA
AND,2020-08-30,10.273079,17.226709388613337,NA
AND,2020-08-31,4.7163486,10.89573656524237,NA
AND,2020-09-01,7.155429,13.13557721903254,NA
AND,2020-09-02,4.938156,10.72765291273935,NA
AND,2020-09-03,7.3202906,12.882295083367136,NA
AND,2020-09-04,10.690292,15.350826460109001,NA
AND,2020-09-05,7.2960687,12.771846117485985,NA
AND,2020-09-06,9.737075,14.290565653680234,NA
AND,2020-09-07,6.164365,11.480067812768207,NA
AND,2020-09-08,9.0971,13.585478986738973,NA
AND,2020-09-09,6.6593356,11.721530480369449,NA
AND,2020-09-10,9.443927,13.611972068221434,NA
AND,2020-09-11,12.9078865,16.186569923751005,NA
